date,APMC,CommodityId,min_price,max_price,modal_price,arrivals_in_qtl
2016-05-01,Jalna,2,2003,2152,2079,1856
2014-11-01,Jalna,2,1489,1694,1600,6617
2015-11-01,Jalna,2,1678,1791,1724,2023
2014-10-01,Jalna,2,1408,1575,1517,7143
2015-10-01,Jalna,2,1648,1760,1713,3515
2016-10-01,Jalna,2,1843,1922,1888,1816
2014-09-01,Jalna,2,1564,1699,1641,12833
2015-09-01,Jalna,2,1520,1693,1617,3993
2016-09-01,Jalna,2,1846,1932,1894,1616
2016-11-01,Jalna,2,2013,2174,2098,2021
2015-04-01,Morshi,2,1538,1600,1570,2552
2016-04-01,Morshi,2,1600,1706,1632,1103
2015-08-01,Morshi,2,1450,1514,1469,860
2016-08-01,Morshi,2,1631,1726,1685,571
2014-12-01,Morshi,2,1433,1528,1481,950
2015-12-01,Morshi,2,1556,1644,1580,1461
2015-02-01,Morshi,2,1494,1600,1547,904
2016-02-01,Morshi,2,1625,1744,1673,765
2015-01-01,Morshi,2,1506,1606,1556,1046
2016-01-01,Morshi,2,1585,1692,1615,1146
2015-07-01,Morshi,2,1400,1481,1426,817
2016-07-01,Morshi,2,1674,1764,1730,308
2015-06-01,Morshi,2,1394,1551,1470,1365
2016-06-01,Morshi,2,1690,1825,1754,1064
2015-03-01,Morshi,2,1506,1625,1566,1350
2016-03-01,Morshi,2,1600,1713,1652,814
2015-05-01,Morshi,2,1467,1628,1549,2015
2016-05-01,Morshi,2,1563,1700,1611,686
2014-11-01,Morshi,2,1433,1511,1473,1554
2015-11-01,Morshi,2,1536,1643,1568,1648
2014-10-01,Morshi,2,1367,1508,1438,598
2015-10-01,Morshi,2,1481,1563,1505,1385
2016-10-01,Morshi,2,1656,1756,1709,873
2014-09-01,Morshi,2,1444,1522,1485,905
2015-09-01,Morshi,2,1431,1525,1460,912
2016-09-01,Morshi,2,1679,1737,1714,600
2016-11-01,Morshi,2,1667,1767,1719,879
2015-04-01,Sangali,2,1669,3015,2331,12473
2016-04-01,Sangali,2,1826,2752,2462,12317
2015-08-01,Sangali,2,1633,2935,2487,7521
2016-08-01,Sangali,2,1885,2787,2411,7975
2014-12-01,Sangali,2,1702,2825,2266,5842
2015-12-01,Sangali,2,1700,3029,2692,7992
2015-02-01,Sangali,2,1669,2729,2196,5530
2016-02-01,Sangali,2,1829,2804,2513,9635
2015-01-01,Sangali,2,1681,2774,2227,5574
2016-01-01,Sangali,2,1762,2940,2628,8031
2015-07-01,Sangali,2,1614,2952,2476,5011
2016-07-01,Sangali,2,1874,2755,2388,7436
2015-06-01,Sangali,2,1614,3000,2405,6335
2016-06-01,Sangali,2,1936,2856,2458,12551
2015-03-01,Sangali,2,1705,2983,2349,13200
